BarnName,Index,DHIID,RFID,Lact#,DIM,Merit$,DateDue,Repr,PTAM,PTAFat,PTAPro,LctAvSCCS,SireCode,MGSCode,DamName,DamPTAM,DamPTAF,DamPTAP,DamMerit$
2664 ,2664,47TXC8060,,4,235,+433,5-19,P,+324,+41,+21,2.0,7HO6417,1HO5783,1726,-294,-12,-13,-11
6792 ,6792,47VBY9229,,1,198,+432,7-20,P,+128,+13,+6,2.7,501HO7169,1HO6360,5545,-53,+2,-3,+294
2691 ,2691,47TXC8079,,5,127,+431,10-13,,+597,+41,+28,5.2,7HO6417,7HO4637,1829,+524,+24,+11,+106
2794 ,2794,47TXC8590,,4,169,+429,9-29,,+982,+71,+40,1.3,14HO3367,,3800,,,,
6194 ,6194,47VAJ9417,,2,203,+429,8-27,P,+678,+48,+30,0.6,29HO9138,7HO6417,2965,+925,+62,+46,+581
6254 ,6254,47VBY8385,,2,154,+429,8-11,P,-42,+33,+13,0.7,7HO6417,9HO2575,2846,-683,-8,-17,+111
6559 ,6559,47VBY8797,,1,282,+429,3-10,P,+457,+44,+33,1.1,1HO5045,7HO6417,5255,,,,
5873 ,5873,47VAJ8194,,2,294,+428,7-08,P,+2085,+47,+63,0.1,1HO7127,7HO6168,2418,+859,+9,+27,+222
6411 ,6411,47VBY8607,,2,83,+420,10-17,,+622,+32,+29,3.2,7HO6417,,4549,,,,
6597 ,6597,47VBY8775,,1,266,+419,8-21,P,+109,+9,+19,0.2,7HO6417,1HO6360,5189,+335,-13,+14,+294
5121 ,5121,47TYY0732,,3,181,+416,10-18,,+533,+48,+30,4.1,7HO6417,,4068,,,,
6522 ,6522,47VBY8712,,1,313,+412,4-14,P,+898,+77,+31,3.6,1HO7290,1HO5588,2648,+1684,+22,+31,+238
6785 ,6785,47VBY9209,,1,158,+409,8-08,P,+471,+84,+28,2.0,1HO7290,29HO10321,5468,+809,+51,+24,+254
6166 ,6166,47TZD3299,,2,278,+403,7-11,P,+1613,+53,+45,0.4,507HO6838,7HO6417,5026,+832,+47,+37,+463
6462 ,6462,47VBY8582,,1,244,+403,1-13,P,+839,+39,+21,1.3,1HO6833,1HO5697,5203,+1142,+34,+32,+310
5818 ,5818,47VAN9770,,2,222,+401,9-12,P,+574,+32,+14,0.9,14HO3597,7HO6417,2638,+17,+51,+17,+369
6204 ,6204,47VAJ9393,,1,459,+401,2-07,S,+862,+72,+31,0.5,507HO6695,7HO6417,5026,+832,+47,+37,+463
6612 ,6612,47VBY8725,,1,224,+399,9-05,P,+896,+62,+39,3.7,1HO7290,203HO421,5321,+1347,+18,+35,+273
5079 ,5079,47TYY0560,,3,197,+398,8-10,P,+1073,+43,+40,5.9,7HO6417,,3867,,,,
6259 ,6259,47VBY8007,,2,135,+398,9-22,,+759,+13,+28,0.3,14HO4099,9HO2575,2972,+540,+13,+13,+357
6116 ,6116,47VAJ8760,,2,185,+397,10-15,,+2260,+49,+47,0.5,94JE3083,,4397,,,,
5542 ,5542,47TZD2807,,3,135,+395,9-01,P,+157,+7,+7,1.3,1HO6360,7HO6417,5004,-164,+7,+5,+184
5324 ,5324,47TZD2802,,3,209,+393,7-28,P,+198,+4,+12,2.8,1HO6360,7HO6417,5004,-164,+7,+5,+184
6385 ,6385,47VBY8539,,1,335,+392,2-17,P,+1557,+47,+39,1.4,1HO7235,1HO6802,5130,+907,+20,+15,+204
6585 ,6585,47VBY8728,,1,316,+392,4-15,P,+390,+74,+21,0.9,1HO7290,203HO421,5309,+1126,+27,+25,+240
6528 ,6528,47VBY8703,,1,326,+390,2-17,P,-47,+56,+15,0.3,1HO7290,203HO421,5337,+567,+12,+15,+301
6316 ,6316,47VBY8422,,2,136,+389,8-30,P,+235,+8,+10,0.1,1HO6360,7HO6417,5005,+154,+14,+13,+249
6310 ,6310,47VBY8480,,2,93,+387,10-12,,+574,+47,+33,0.1,1HO7127,7HO6417,2954,-58,+48,+23,+413
6770 ,6770,47VBY9295,,1,157,+387,8-11,P,+406,+27,+25,0.1,7HO6417,,4254,,,,
6526 ,6526,47VBY8759,,1,315,+385,5-04,P,+705,+36,+29,2.7,7HO6417,,4553,,,,
6796 ,6796,47VBY9243,,1,203,+385,8-04,P,+335,+43,+20,4.0,501HO6987,1HO8752,5474,+766,+43,+35,+443
6054 ,6054,47VAJ8487,,2,235,+384,5-19,P,+618,+49,+19,0.2,1HO6721,14HO3367,2898,+98,+38,+17,+241
6599 ,6599,47VBY8800,,1,261,+384,5-07,P,+90,+58,+15,0.8,1HO7290,14HO3597,5078,+1074,+26,+21,+340
6377 ,6377,47VBY8532,,1,456,+383,4-15,P,+798,+50,+24,0.4,203HO421,29HO10321,5173,+509,+46,+22,+223
6598 ,6598,47VBY8779,,1,330,+381,3-11,P,+392,+70,+26,2.3,1HO7290,203HO421,5311,+1728,+46,+47,+369
6277 ,6277,47VBY8392,,2,179,+379,7-14,P,+1408,+49,+49,0.1,1HO7127,,2904,,,,
6371 ,6371,47VBY8544,,2,120,+379,9-15,P,+1108,+45,+28,1.3,1HO7235,14HO3597,5069,+933,+41,+17,+347
6602 ,6602,47VBY8755,,1,303,+379,5-19,P,+862,+24,+31,3.4,507HO7482,1HO6360,5374,+9,-27,+8,+272
5927 ,5927,47VAJ8270,,2,332,+376,4-30,P,+831,+39,+37,1.2,29HO10681,7HO5710,2293,-17,+35,+9,+138
6155 ,6155,47VAJ9139,,2,150,+376,9-16,P,+370,+35,+10,0.3,1HO6721,7HO6417,2793,+209,+57,+17,+439
6672 ,6672,47VBY8983,,1,289,+376,6-04,P,+910,+39,+37,3.9,7HO6168,11HO5929,2706,+697,+54,+23,+354
5227 ,5227,47TZK4165,,4,63,+374,,,+690,+10,+18,0.1,1HO6360,14HO3160,2090,+346,-2,+7,+53
2823 ,2823,47TXC8339,,4,124,+373,10-01,,+373,+13,+8,1.4,1HO6360,14HO2687,2040,-486,-5,-14,+13
6190 ,6190,47VAJ9427,,2,127,+373,9-08,P,+651,+27,+25,0.6,29HO10681,7HO6417,5004,-164,+7,+5,+184
2688 ,2688,53331351,,4,337,+372,2-13,P,+496,+4,+14,1.0,1HO6360,1HO6248,1979,+278,+9,+3,+113
5638 ,5638,47TZK4835,,3,54,+369,,,+47,+39,+14,0.1,7HO6417,9HO2704,2553,-903,-10,-26,-101
5714 ,5714,47VAN9584,,2,267,+369,2-03,P,+309,+33,+18,3.7,29HO10241,7HO6417,2664,+324,+41,+21,+433
5853 ,5853,47TRY9694,,2,91,+369,10-13,,+1582,+56,+48,2.0,507HO6838,7HO6417,2721,+930,+44,+45,+435
6390 ,6390,47VBY8609,,1,353,+369,2-02,P,+491,+38,+18,5.2,1HO6833,7HO6417,5112,+547,+47,+39,+466
6635 ,6635,47VBY8986,,1,237,+364,6-10,P,+519,+24,+21,2.9,29HO10124,1HO6360,5363,-149,-7,+1,+263
6838 ,6838,47VBY9786,,1,155,+364,8-27,P,+68,+51,+14,1.3,501HO7290,203HO466,5556,+156,+3,+1,+245
2962 ,2962,47TXC8960,,4,228,+363,6-17,P,+103,+25,+16,0.1,7HO6417,,4056,,,,
6410 ,6410,47VBY8589,,1,290,+362,9-21,,+475,+44,+13,0.3,11HO9651,29HO12044,2740,+228,+19,+13,+161
6407 ,6407,47VBY8546,,1,334,+361,5-10,P,+675,+37,+18,0.8,1HO6721,7HO6417,5079,+1073,+43,+40,+398
6530 ,6530,47VBY8771,,1,332,+361,3-26,P,+454,+30,+23,0.4,29HO10493,1HO6802,5105,+542,+7,+8,+182
6618 ,6618,47VBY8756,,1,273,+359,4-14,P,+140,+28,+11,1.0,1HO6721,7HO6417,5282,+50,+28,+21,+361
6803 ,6803,47VBY9210,,1,185,+359,8-04,P,+446,+25,+18,0.1,1HO7169,11HO5284,4455,+456,+8,+18,+213
2972 ,2972,47TXC8961,,4,251,+357,8-08,P,+540,+13,+13,1.5,9HO2575,,4058,,,,
6504 ,6504,47VBY8702,,1,278,+357,2-03,P,+1454,+27,+36,3.5,1HO7235,14HO3597,5233,+1162,+5,+20,+268
6227 ,6227,47VAJ9404,,2,81,+355,,,+1515,+59,+40,0.6,1HO8977,1HO5551,2423,+549,+21,+20,+118
2706 ,2706,47TXC8511,,4,129,+354,9-07,P,+697,+54,+23,4.2,11HO5929,,921,,,,
6436 ,6436,47VBY8576,,2,40,+350,,,+1042,+41,+38,0.8,1HO7127,1HO7916,5138,+412,+23,+13,+225
5413 ,5413,47TYY0878,,3,209,+349,7-06,P,+1453,+34,+41,2.2,1HO5697,,2417,,,,
6071 ,6071,47VAJ8493,,2,104,+348,10-11,,+1842,+65,+46,7.3,29HO11111,1HO7326,2218,+548,+23,+16,+177
6286 ,6286,47VBY8398,,2,142,+348,8-24,P,+391,+45,+12,0.7,11HO9651,1HO7384,2242,-136,-3,+0,+26
6482 ,6482,47TZD3397,,1,341,+348,3-22,P,+434,+33,+32,3.2,507HO6168,7HO6417,5297,+73,+20,+21,+260
5069 ,5069,47TYY0578,,3,23,+347,,,+933,+41,+17,6.1,14HO3597,7HO5710,1870,+282,+43,+17,+150
5750 ,5750,47TZL6319,,3,326,+347,6-20,P,+917,+32,+27,0.6,203HO421,11HO4623,,+74,+3,+5,-24
6629 ,6629,47VBY8730,,1,303,+346,7-11,P,+888,+50,+28,1.3,1HO9321,,3656,,,,
5418 ,5418,47TYY0886,,3,234,+344,5-26,P,+877,+2,+21,1.7,1HO6360,1HO7450,2404,+250,+1,+1,-24
6488 ,6488,47TZD3399,,1,272,+344,1-29,P,+632,+14,+35,0.1,507HO6168,7HO6417,5297,+73,+20,+21,+260
6545 ,6545,47VBY8727,,1,283,+344,3-02,P,+1394,+59,+41,2.9,507HO6838,1HO5678,5291,+412,+33,+21,+255
6128 ,6128,47VAJ8743,,2,196,+342,7-19,P,+1206,+50,+32,1.4,11HO7741,,4404,,,,
6829 ,6829,47VBY9824,,1,176,+342,8-10,P,+1156,+12,+30,0.1,1HO9362,9HO2575,2744,+658,+18,+18,+440
5078 ,5078,47TYY0587,,3,237,+340,8-14,P,+1074,+26,+21,2.9,14HO3597,1HO2274,1919,+403,+8,+9,+94
6206 ,6206,47VAJ9436,,1,390,+338,1-19,P,+1140,+52,+38,3.2,11HO7741,11HO5929,2592,-153,+33,+10,+156
6744 ,6744,47VBY9296,,1,229,+338,5-26,P,+104,+16,+7,0.4,1HO7169,,2809,,,,
2762 ,2762,47TXC8569,,4,335,+337,6-11,P,+281,+11,+17,1.3,7HO6417,,1709,,,,
6481 ,6481,47TZD3398,,1,318,+337,9-07,P,+1404,+43,+46,0.5,507HO6168,14HO3831,5285,+2074,+58,+48,+277
6544 ,6544,47VBY8749,,1,280,+337,3-09,P,+370,+36,+13,1.2,507HO7482,1HO6360,5334,-420,-9,-11,+155
6397 ,6397,47VBY8560,,1,308,+335,1-10,P,+962,+3,+17,0.3,14HO3597,1HO6802,5209,+1100,-3,+25,+228
6745 ,6745,47VBY9219,,1,219,+335,6-09,P,+286,+62,+22,0.6,777HO4740,1HO6276,5501,+1046,+45,+30,+317
5805 ,5805,47VAN9772,,3,52,+334,,,+825,+59,+25,0.4,29HO10483,,2336,,,,
6671 ,6671,47VBY8934,,1,219,+334,6-12,P,+841,+37,+20,0.4,1HO6721,1HO2406,5437,+899,+26,+21,+222
2684 ,2684,47TXC8069,,4,232,+333,5-23,P,+289,+7,+19,0.4,9HO2575,1HO5210,1738,-61,+6,+19,+71
6783 ,6783,47VBY9244,,1,245,+333,5-12,P,+310,+24,+7,2.4,1HO6833,9HO2575,2712,-199,-8,-1,+117
5825 ,5825,47VAN9773,,1,562,+331,,C,+1312,+50,+37,2.8,29HO10483,601040506,2180,+1032,+16,+25,+114
2851 ,2851,47TXC8341,,4,30,+330,,,+1644,+36,+39,3.0,1HO5588,7HO5650,2025,+715,+36,+21,+238
6246 ,6246,47VBY8400,,2,89,+330,10-03,,+569,+34,+18,3.4,29HO11111,1HO6360,2607,-389,+7,-7,+311
6591 ,6591,47VBY8737,,1,284,+329,2-02,P,+309,+33,+13,0.6,1HO6833,14HO3367,2852,+849,+37,+41,+312
5640 ,5640,53689939,,3,55,+328,,,+358,+9,+9,0.1,1HO6360,1HO5588,2641,-342,-8,-13,-39
6714 ,6714,47VBY9270,,1,223,+327,6-02,P,+322,+25,+12,0.6,1HO6833,29HO10483,5405,+153,+7,+17,+194
5306 ,5306,47TBO0462,,3,292,+326,3-24,P,+1536,+36,+35,7.7,203HO421,,,,,,
6709 ,6709,47VBY8943,,1,188,+326,10-13,,+542,+28,+17,1.4,1HO7169,,2445,,,,
6490 ,6490,47TZD3394,,1,283,+325,1-23,P,+342,+16,+31,1.3,507HO6168,7HO6417,5297,+73,+20,+21,+260
5601 ,5601,47TZK4531,,2,495,+324,4-14,P,+960,+44,+21,1.0,1HO6802,,4204,,,,
6065 ,6065,47VAJ8499,,2,250,+324,7-22,P,+759,+34,+31,0.6,1HO7154,1HO7404,2228,-101,-15,+4,+74
6283 ,6283,47VBY8386,,2,176,+324,7-20,P,+1214,+44,+41,0.3,29HO10792,9HO2704,2591,+1116,+36,+33,+226
6220 ,6220,47VAJ9389,,2,211,+323,7-28,P,+1304,+61,+38,3.6,29HO10792,1HO6149,2551,+1351,+54,+32,+195
6471 ,6471,47VBY8550,,2,33,+322,,,-89,+25,+11,0.1,7HO6417,11HO8484,4459,,,,
6793 ,6793,47VBY9247,,1,196,+322,,N,+1154,+28,+33,0.1,1HO7235,203HO421,5749,+850,+27,+22,+258
6412 ,6412,47VBY8528,,1,350,+321,10-03,,+1304,+39,+33,0.7,11HO7741,7HO6247,2214,+165,-4,-4,+8
5736 ,5736,47VAN9703,,2,108,+319,10-10,,+1069,+38,+38,4.4,29HO10728,7HO6417,5005,+154,+14,+13,+249
6389 ,6389,47VBY8594,,1,328,+319,1-28,P,+1294,+48,+25,0.4,507HO7482,1HO6802,5205,+901,+6,+5,+91
6609 ,6609,47VBY8754,,1,255,+319,5-05,P,+49,+49,+15,2.6,507HO7482,7JE329,5370,-1532,-1,-20,+29
5343 ,5343,47TYY0871,,3,175,+318,8-10,P,+162,+22,+15,1.9,7HO6417,1HO2274,2028,-909,-33,-27,-160
6404 ,6404,47VBY8586,,1,424,+318,,C,+758,+35,+15,0.9,1HO6833,,2660,,,,
5501 ,5501,47TZK4432,,3,235,+317,5-08,P,+1046,+45,+30,0.7,1HO6276,11HO5153,2127,+911,+42,+28,+258
6340 ,6340,47VBY8464,,2,57,+317,,,+512,+53,+9,0.5,11HO9651,,2686,,,,
6350 ,6350,47VBY8423,,2,99,+317,9-27,,+1093,-1,+33,0.2,203HO421,29HO12044,2877,+634,-9,+25,+119
5600 ,5600,47TZK4540,,3,71,+316,,,+155,+8,+4,0.1,1HO6360,,4066,,,,
6626 ,6626,47VBY8768,,1,289,+316,7-28,P,+295,+23,+22,2.0,7HO6417,,5388,,,,
2818 ,2818,53689920,,4,197,+315,6-30,P,+649,-6,+21,3.9,1HO6360,1HO7165,2044,+25,-19,+6,-14
5546 ,5546,47TZD2804,,3,114,+315,9-16,P,-352,-6,-5,1.6,1HO6360,7HO6417,5004,-164,+7,+5,+184
5303 ,5303,47TBO0466,,3,322,+314,4-07,P,+1157,+36,+28,1.2,203HO421,1HO6149,,+1322,+36,+30,+58
2864 ,2864,47TXC8720,,4,88,+313,10-13,,+426,+23,+14,0.1,29HO10145,9HO1708,773,-261,+10,-3,+125
5646 ,5646,47TZK4818,,3,39,+313,,,+846,+39,+27,0.1,29HO10483,,2126,,,,
6821 ,6821,47VBY9810,,1,183,+313,8-19,P,+534,-3,+20,0.7,14HO4099,1HO6360,5438,+199,-13,+1,+228
6574 ,6574,47VBY8748,,1,283,+312,4-03,P,+281,+22,+25,3.2,7HO6417,,5267,,,,
2607 ,2607,47TXC8016,,5,82,+311,,,-389,+7,-7,0.1,1HO6360,,1082,,,,
6727 ,6727,47VBY9267,,1,199,+311,6-28,P,+1060,+43,+28,0.1,507HO6838,7HO6417,,+463,+31,+21,+362
5446 ,5446,47TYY0682,,3,298,+310,9-26,,-286,+37,+12,1.7,7HO6417,,2429,,,,
6034 ,6034,47VAJ8392,,2,275,+310,5-20,P,+1805,+41,+52,2.2,1HO6948,7HO6417,2783,+1050,+63,+41,+468
6570 ,6570,47VBY8739,,1,327,+310,3-15,P,+957,+52,+30,3.6,7HO7482,14HO3831,5352,+1293,+25,+32,+199
5222 ,5222,47TZK4174,,3,283,+309,1-20,P,+1090,+12,+26,3.1,14HO3597,,2365,,,,
5257 ,5257,47TZK4188,,2,466,+308,3-31,S,+1084,+30,+45,0.8,11HO5183,1HO5210,1737,+54,+19,+22,+60
6131 ,6131,47VAJ8734,,2,149,+308,10-13,,+808,+12,+27,0.2,507HO7043,29HO12044,2948,+641,+24,+23,+265
6148 ,6148,47VAJ9109,,2,126,+308,9-12,P,+664,+42,+25,0.4,29HO10792,1HO7047,2161W,+219,+27,+9,+138
5390 ,5390,47TYY0847,,3,30,+307,,,+1108,+40,+35,4.8,1HO6671,7HO5650,2023,-216,+11,+1,+117
5965 ,5965,47VAJ8284,,2,301,+307,3-17,P,+92,+34,+18,0.9,1HO8675,7HO6168,2398,-315,+0,+7,+121
6052 ,6052,47VAJ8480,,2,332,+307,6-14,P,+1084,+48,+32,1.5,1HO9015,,2532,,,,
6565 ,6565,47VBY8716,,1,280,+307,2-17,P,+739,+4,+29,0.4,29HO10818,7HO6417,5344,+608,+11,+29,+231
6610 ,6610,47VBY8799,,1,283,+307,5-25,P,+599,+38,+10,2.0,1HO6833,1HO5588,2767,+538,+18,+10,+106
5819 ,5819,47VAN9779,,3,34,+306,,,+338,+30,+22,0.1,11HO7094,7HO6417,2735,-604,+27,+8,+260
6144 ,6144,47VAJ9134,,2,208,+306,8-11,P,+365,+25,+18,3.3,507HO7043,7HO6417,2888,-477,+15,-3,+165
5884 ,5884,47TBD2389,,2,312,+305,1-19,P,+888,+13,+21,0.5,203HO421,1HO7512,2409,,,,
6087 ,6087,47VAJ8729,,2,131,+304,10-06,,+1296,+27,+36,0.9,1HO9015,9HO2271,1956,+799,+5,+22,+244
2845 ,2845,53689902,,4,270,+302,4-14,P,-52,+5,+6,1.3,9HO2575,,3921,,,,
5887 ,5887,47TBD2377,,2,167,+302,9-29,,+1665,+55,+39,3.5,507HO6838,1HO7031,2804,-111,+10,+4,+17
5337 ,5337,47TYY0817,,3,281,+301,1-20,P,+567,+12,+15,1.8,203HO421,,2340,,,,
5316 ,5316,47TBO0470,,3,289,+300,6-21,P,+1035,+19,+31,1.3,203HO421,,,,,,
6302 ,6302,47VBY8434,,1,436,+299,6-01,S,+1578,+52,+33,1.0,507HO6838,9HO2575,5115,+437,+11,+6,+162
6747 ,6747,47VBY9258,,1,189,+299,7-07,P,+963,+38,+30,0.6,29HO10124,,4367,,,,
2597 ,2597,47TXC8031,,5,106,+298,9-16,P,+224,+33,+21,0.9,14HO3367,,3680,,,,
6101 ,6101,47VAJ8736,,1,417,+298,1-25,P,+1219,+35,+35,1.1,1HO5663,11HO5153,2127,+911,+42,+28,+258
6187 ,6187,47VAJ9414,,2,150,+298,10-01,,+746,+23,+21,0.1,203HO421,,4360,,,,
5305 ,5305,47TBO0460,,3,304,+297,10-01,,+1075,+14,+34,2.6,203HO421,,,,,,
6415 ,6415,47VBY8585,,1,429,+297,5-21,P,+498,+26,+13,0.4,11HO7741,14HO2586,1425,-330,-4,-15,+163
6801 ,6801,47VBY9264,,1,177,+297,9-20,,+358,+27,+16,2.4,507HO6168,203HO466,5557,-389,+3,-14,+139
6858 ,6858,47VBY9762,,1,152,+297,9-28,,+99,+17,+18,1.0,507HO6168,7HO6417,5638,+47,+39,+14,+369
6475 ,6475,47TZD3402,,1,307,+295,3-30,P,+458,+55,+18,1.4,507HO6695,7HO6417,5254,+623,+40,+29,+390
2893 ,2893,47TXC8723,,4,66,+294,,C,+584,+51,+32,4.0,14HO3367,11HO4623,1242,+274,+12,+8,+95
5164 ,5164,47TZK4013,,3,141,+294,10-11,,+1015,+42,+24,4.2,1HO5697,,4044,,,,
5189 ,5189,47TZK4206,,3,344,+294,4-18,P,+335,-13,+14,2.4,1HO6360,11HO5293,2011,+65,-28,+6,-1
5545 ,5545,47TZD2494,,3,175,+294,7-21,P,-53,+2,-3,2.9,1HO6360,7HO6417,5004,-164,+7,+5,+184
2318 ,2318,47TRY9960,,5,90,+292,10-13,,+659,+7,+28,5.1,7HO5710,29HO6995,,-388,-54,-2,+100
6648 ,6648,47VBY8959,,1,232,+292,,C,-306,+24,+7,0.5,7HO6417,,4556,,,,
6650 ,6650,47VBY8995,,1,244,+291,5-12,P,-68,+9,+1,0.3,1HO6833,1HO6360,5425,+3,+0,+8,+216
5680 ,5680,47VAN9552,,3,168,+290,8-18,P,+2503,+43,+51,0.2,7JE329,,2524,,,,
5710 ,5710,47VAN9556,,2,388,+290,,C,+1053,+33,+40,1.3,1HO7127,29HO9235,2154,+291,-3,+14,+56
6235 ,6235,47VAJ9432,,2,173,+289,8-20,P,+1031,+42,+22,0.5,1HO8977,,3824,,,,
6375 ,6375,47VBY8563,,2,47,+289,,,+1019,+29,+35,0.1,507HO7482,11HO5183,5197,+72,-31,+15,+17
2999 ,2999,47TYY0540,,3,285,+288,2-26,P,+309,+1,+2,0.1,1HO6360,,2148,,,,
5715 ,5715,47VAN9581,,2,403,+288,3-05,P,+1183,+40,+32,0.5,1HO2406,29HO8768,1706,+426,+25,+14,+166
5829 ,5829,47VAN9777,,2,278,+288,3-02,P,+652,+29,+22,0.8,29HO10681,200HO3,2247,+78,+6,-5,-11
6055 ,6055,47VAJ8508,,2,279,+288,3-25,P,+294,+5,+9,2.1,1HO5663,1HO6360,2823,+373,+13,+8,+373
6521 ,6521,47VBY8715,,1,297,+288,3-24,P,+857,+57,+33,3.0,1HO7127,1HO8486,5225,-204,+36,-3,+71
2871 ,2871,47TXC8705,,3,396,+287,6-17,S,+59,-7,+10,1.0,9HO2575,1HO7044,2169,+404,-11,+20,+104
5174 ,5174,47TZK4033,,3,304,+287,5-30,P,+42,+18,+14,1.7,7HO6417,7HO3895,2157,-427,-15,-8,-92
6391 ,6391,47VBY8538,,1,325,+287,4-06,S,+733,+10,+17,0.6,203HO421,,4358,,,,
6479 ,6479,47TZD3401,,1,154,+287,7-28,P,+392,+18,+27,3.0,507HO6168,7HO6417,5297,+73,+20,+21,+260
6633 ,6633,47VBY8972,,1,170,+287,7-28,P,-99,+22,+4,0.1,1HO7169,1HO7031,2071,-111,+10,+4,+17
5387 ,5387,47TYY0863,,3,148,+286,8-18,P,+419,+36,+20,0.4,29HO10483,97HO76,1781,-947,-19,-17,-103
6021 ,6021,47VAJ8406,,2,223,+286,6-01,P,+292,+10,+1,1.5,1HO6721,1HO6360,2804,+271,+11,+4,+310
6260 ,6260,47VBY8017,,2,201,+285,7-15,P,+1335,+35,+30,1.0,1HO7235,1HO2406,2985,+861,+11,+17,+76
6555 ,6555,47VBY8762,,1,276,+285,2-28,P,+1149,+38,+41,4.2,1HO7127,1HO2406,5333,+623,+17,+18,+150
2676 ,2676,47TXC8071,,4,25,+284,,,+1313,+37,+25,4.0,1HO5588,9HO1705,909,-74,+2,-8,+96
5349 ,5349,47TYY0825,,3,246,+284,9-04,P,+15,+22,+14,3.1,7HO6417,,3582,,,,
6323 ,6323,47VBY8476,,2,138,+284,9-23,,+1043,+23,+33,0.1,29HO10792,,2524,,,,
6146 ,6146,47VAJ9133,,2,154,+282,9-22,,+666,+26,+17,0.1,11HO7319,7HO6417,2567,+711,+29,+22,+308
6201 ,6201,47VAJ9397,,2,242,+282,6-14,P,+1229,+22,+38,1.2,29HO10792,,2526,,,,
6387 ,6387,47VBY8535,,1,388,+282,2-17,P,+1265,+41,+42,1.7,1HO7127,1HO2406,5083,+746,+31,+22,+152
5185 ,5185,47TZK4207,,3,321,+281,2-19,P,+777,+6,+29,1.0,11HO5183,1HO6248,2249,+191,+5,+6,+134
5042 ,5042,47TXC8964,,3,309,+280,3-13,P,+390,+3,+9,1.2,9HO2575,,1069,,,,
5933 ,5933,47VAJ8269,,2,306,+280,6-01,P,+969,+57,+26,0.8,507HO6695,1HO6671,2813,+1044,+14,+29,+206
6178 ,6178,47VAJ9112,,1,483,+280,,C,+1438,+53,+36,1.9,29HO11111,,4204,,,,
6600 ,6600,47VBY8764,,1,278,+280,4-24,P,+1127,+33,+27,3.0,1HO7235,,5398,,,,
6271 ,6271,47VBY8388,,2,130,+278,10-13,,-67,+2,+8,0.4,29HO10124,11HO8046,2628,-658,-18,-11,+151
